sku,name,category,quantityInStock,quantityReserved,quantityDamaged,reorderThreshold,minStockLevel,zone,rack,bin
PRD-101,Silk Designer Dress,Fashion Apparel,40,5,0,10,5,Zone A,Rack 01,Bin 01
PRD-102,Casual Cotton T-Shirt,Fashion Apparel,85,12,0,15,10,Zone A,Rack 01,Bin 02
PRD-103,Running Sneakers,Footwear,30,4,0,8,4,Zone A,Rack 01,Bin 03
PRD-104,Laptop Backpack,Accessories,50,8,0,10,5,Zone B,Rack 01,Bin 01
PRD-105,Wireless Headphones,Electronics,35,6,1,10,5,Zone B,Rack 01,Bin 02
PRD-106,Smart Watch,Electronics,25,3,0,5,3,Zone B,Rack 01,Bin 03
PRD-107,Ergonomic Mesh Office Chair,Furniture,15,2,0,5,2,Zone C,Rack 01,Bin 01
PRD-108,Standing Desk Converter,Furniture,12,1,0,4,2,Zone C,Rack 01,Bin 02
PRD-001,Wireless Ergonomic Mouse,Electronics,45,10,0,15,10,Zone A,Rack 01,Bin 04
PRD-002,Mechanical Gaming Keyboard,Electronics,28,8,1,10,5,Zone A,Rack 01,Bin 08
